DATOS (X),,,,,,,,,,SUM(X),Y(UP),,X(t)*Y(t) (UP),,W(t) UP
0,"-0,9","-0,9","13,0373","2,89993","0,802485","0,15",1,0,,"15,089715",1,,"15,089715",,"15,089715"
"-0,2","-2,69999","-0,3","35,5069","4,55002","0,802485","-0,15",1,0,,"37,509415",1,,"37,509415",,"52,59913"
"0,2","-7,19999",0,"63,4656","-7,09996","-0,544977","-0,35",1,0,,"48,470673",1,,"48,470673",,"101,069803"
0,"-5,59999","0,4","57,4708","-3,69999","-0,544977","0,35",1,0,,"48,375843",1,,"48,375843",,"149,445646"
"-0,2","-2,79999","0,6",54746,"-0,949989","-0,544977","0,35",1,0,,"54742,455044",1,,"54742,455044",,"54891,90069"
"0,2","8,60002","-0,8","28,5871","11,65","-0,544977","-0,35",1,0,,"47,342143",1,,"47,342143",,"54939,242833"
0,"4,50002","-0,7","14,4177","2,55","-0,544977","-0,35",1,0,,"19,872743",1,,"19,872743",,"54959,115576"
"-0,2","-0,999986","-0,6","4,06317","-0,300003","-0,544977","-0,35",1,0,,"1,068204",1,,"1,068204",,"54960,18378"
"-0,4","-0,799987",0,"1,33829","-0,0500021","-0,544977","-0,35",1,0,,"-0,8066761",1,,"-0,8066761",,"54959,3771039"
0,0,0,5,"1,05",1,"0,35",1,0,,"7,4",1,,"7,4",,"54966,7771039"
"0,4","4,2","-0,2",46,"5,80001",1,"0,35",1,0,,"57,55001",1,,"57,55001",,"55024,3271139"
0,"-5,2","-0,7",38,"-14,35",-1,"-0,3",1,0,,"16,45",1,,"16,45",,"55040,7771139"
"-0,2","-11,1",-1,28,"-14,7",-1,"0,3",1,0,,"0,3",1,,"0,3",,"55041,0771139"
"-0,4",-13,0,23,"-11,2",-1,"0,3",1,0,,"-2,3",1,,"-2,3",,"55038,7771139"
"-0,6","-6,99999","0,3",17,"-5,79999",-1,"0,3",1,0,,"3,20002",1,,"3,20002",,"55041,9771339"
"0,2","-1,99999","-0,2","16,5","2,20001","-0,5",0,1,0,,"16,20002",1,,"16,20002",,"55058,1771539"
"0,2","-4,59999","0,4",15,"-0,599992","0,5",0,1,0,,"10,900018",1,,"10,900018",,"55069,0771719"
0,"4,40001",1,"20,5","-0,599992","0,5",0,1,0,,"25,800018",1,,"25,800018",,"55094,8771899"
"0,4","-1,19999","0,6",38,"-2,79999","0,5",0,1,0,,"35,50002",1,,"35,50002",,"55130,3772099"
"0,2","-2,99999","-0,6",41,"-3,99999","0,5",0,1,0,,"34,10002",1,,"34,10002",,"55164,4772299"
0,"-6,79999","-0,5",44,"-3,99999","0,5",0,1,0,,"33,20002",1,,"33,20002",,"55197,6772499"
"0,4","-11,8",-1,"44,5","-4,99999","0,5",0,1,0,,"27,60001",1,,"27,60001",,"55225,2772599"
"0,2","-14,8","0,2","47,5","-6,19999","0,5",0,1,0,,"27,40001",1,,"27,40001",,"55252,6772699"
0,"-11,4","0,4",51,"-6,19999","0,5",0,1,0,,"34,30001",1,,"34,30001",,"55286,9772799"
"-0,2","-3,19999",1,55,"-4,59999","0,5",0,1,0,,"48,50002",1,,"48,50002",,"55335,4772999"
"0,2","4,00001",1,71,"5,60001","-0,5","0,5",1,0,,"81,80002",1,,"81,80002",,"55417,2773199"
0,"-1,69999","-0,9","54,5","-0,399992","-0,5","-0,5",1,0,,"50,500018",1,,"50,500018",,"55467,7773379"
"0,2","10,8","-0,2","22,5",12,"-0,5","-0,5",1,0,,"44,3",1,,"44,3",,"55512,0773379"
0,"-5,7","0,3","3,5","-5,5","-0,5","0,5",1,0,,"-7,4",1,,"-7,4",,"55504,6773379"
"-0,2","-1,9","0,1","0,5","-1,3","-0,5","0,5",1,0,,"-2,8",1,,"-2,8",,"55501,8773379"
0,"-1,3","-0,5",14,"-0,299992","0,2","-0,3",1,0,,"11,800008",1,,"11,800008",,"55513,6773459"
"-0,2","-3,69999","-0,5","15,2","-0,899982","0,2","-0,3",1,0,,"9,800028",1,,"9,800028",,"55523,4773739"
"-0,4","-1,5","0,2","16,2","-0,399981","0,2","-0,3",1,0,,"14,000019",1,,"14,000019",,"55537,4773929"
0,0,0,"36,8001","0,399996","0,2","0,3",1,0,,"37,700096",1,,"37,700096",,"55575,1774889"
"-0,2","3,60001","0,5","41,0001","3,60002","0,2","-0,3",1,0,,"48,40013",1,,"48,40013",,"55623,5776189"
"-0,4","4,20001",-1,"42,4001","4,30003","0,2","-0,3",1,0,,"49,40014",1,,"49,40014",,"55672,9777589"
0,"-0,200001","-0,2","66,4001","1,5","0,2","-0,3",1,0,,"67,400099",1,,"67,400099",,"55740,3778579"
"-0,2","-2,89999","-0,4","68,6001","0,400021","0,2","-0,3",1,0,,"65,400131",1,,"65,400131",,"55805,7779889"
"0,4","-2,3",-1,50,"0,600003","0,5",0,1,0,,"48,200003",1,,"48,200003",,"55853,9779919"
"0,2","-4,6","0,1","61,5",-4,"0,5",0,1,0,,"53,7",1,,"53,7",,"55907,6779919"
0,"-9,2","-0,2",62,"5,80001","-0,5","0,35",1,0,,"58,25001",1,,"58,25001",,"55965,9280019"
0,"-5,5","0,5","42,5","-3,90001","-0,5","-0,35",1,0,,"32,74999",1,,"32,74999",,"55998,6779919"
0,"-3,2","-2,98E-08","8,58998","-1,25","0,632498","-0,15",1,0,,"4,6224779702",1,,"4,6224779702",,"56003,3004698702"
"-0,2","-2,39999","-0,4","15,5475","-0,699986","0,632498","-0,15",1,0,,"12,330022",1,,"12,330022",,"56015,6304918702"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DATOS (X),,,,,,,,,,SUM(X),Y(DOWN),,X(t)*Y(t) (DOWN),,W(t) (DOWN)
0,"7,4","0,2",16,"7,99997","-0,5","0,05",0,1,,"31,14997",1,,"31,14997",,"31,14997"
"0,2","1,9","0,4","1,80248","2,99994","0,802485","0,15",0,1,,"8,254905",1,,"8,254905",,"39,404875"
"-0,4","7,20001","-0,8",53964,"10,3","0,802485","-0,15",0,1,,"53980,952495",1,,"53980,952495",,"54020,35737"
"-0,2","8,60001","0,6","59,5815","10,65","0,802485","-0,15",0,1,,"79,883995",1,,"79,883995",,"54100,241365"
0,"10,6","-0,4","70,0137","8,70003","0,802485","-0,15",0,1,,"89,566215",1,,"89,566215",,"54189,80758"
"-0,4","4,00001","0,2","49,2962","6,55001","-0,544977","0,35",0,1,,"59,451243",1,,"59,451243",,"54249,258823"
"-0,2","7,80001","0,4","46,5713","9,30002","-0,544977","0,35",0,1,,"63,676353",1,,"63,676353",,"54312,935176"
0,"6,80001","-0,8","43,3015","11,4","-0,544977","0,35",0,1,,"60,506533",1,,"60,506533",,"54373,441709"
0,"6,4","0,2",19,"5,95",1,"0,35",0,1,,"32,9",1,,"32,9",,"54406,341709"
"0,2","5,6","-0,0999999",25,"6,85",1,"0,35",0,1,,"38,9000001",1,,"38,9000001",,"54445,2417091"
"-0,8","-2,39999","0,4",9,"3,00001",-1,"0,3",0,1,,"8,50002",1,,"8,50002",,"54453,7417291"
0,5,1,4,"7,5",-1,"0,3",0,1,,"16,8",1,,"16,8",,"54470,5417291"
